 Beta  Tr[Hp]/Tr[p]  Tr[Hp]/Tr[p]_error
 0.00     -0.514465            0.000091
 0.01     -0.652001            0.000181
 0.02     -0.790110            0.000237
 0.03     -0.928611            0.000304
 0.04     -1.067602            0.000375
 0.05     -1.206600            0.000443
 0.06     -1.346033            0.000494
 0.07     -1.486671            0.000529
 0.08     -1.627044            0.000600
 0.09     -1.767917            0.000677
 0.10     -1.908406            0.000765
 0.11     -2.049925            0.000799
 0.12     -2.191806            0.000884
 0.13     -2.334759            0.000949
 0.14     -2.478050            0.000952
 0.15     -2.621372            0.001062
 0.16     -2.764405            0.001102
 0.17     -2.908628            0.001155
 0.18     -3.053055            0.001328
 0.19     -3.197656            0.001410
 0.20     -3.342633            0.001483
 0.21     -3.487813            0.001629
 0.22     -3.633509            0.001761
 0.23     -3.779684            0.001894
 0.24     -3.925783            0.001996
 0.25     -4.072430            0.002070
 0.26     -4.218758            0.002154
 0.27     -4.365515            0.002251
 0.28     -4.512585            0.002427
 0.29     -4.659261            0.002618
 0.30     -4.806722            0.002857
 0.31     -4.953629            0.002985
 0.32     -5.101018            0.003176
 0.33     -5.248622            0.003498
 0.34     -5.395405            0.003705
 0.35     -5.543036            0.003913
 0.36     -5.691290            0.004209
 0.37     -5.838752            0.004488
 0.38     -5.986284            0.004749
 0.39     -6.133344            0.004987
 0.40     -6.281415            0.005160
 0.41     -6.427853            0.005473
 0.42     -6.576578            0.005792
 0.43     -6.724178            0.006106
 0.44     -6.871601            0.006407
 0.45     -7.018910            0.006700
 0.46     -7.165030            0.007096
 0.47     -7.312257            0.007498
 0.48     -7.459604            0.007909
 0.49     -7.606004            0.008304
 0.50     -7.751683            0.008846
 0.51     -7.898718            0.009459
 0.52     -8.044081            0.010096
 0.53     -8.190478            0.010775
 0.54     -8.336007            0.011357
 0.55     -8.481519            0.011980
 0.56     -8.627677            0.012777
 0.57     -8.771718            0.013437
 0.58     -8.915857            0.014108
 0.59     -9.060550            0.014908
 0.60     -9.204457            0.015722
 0.61     -9.348554            0.016593
 0.62     -9.491637            0.017587
 0.63     -9.634635            0.018566
 0.64     -9.777512            0.019654
 0.65     -9.919789            0.020705
 0.66    -10.061077            0.021930
 0.67    -10.201118            0.023298
 0.68    -10.340489            0.024633
 0.69    -10.479546            0.026064
 0.70    -10.617601            0.027616
 0.71    -10.755460            0.029123
 0.72    -10.892527            0.030537
 0.73    -11.029179            0.032000
 0.74    -11.164427            0.033547
 0.75    -11.299556            0.035145
 0.76    -11.434548            0.036773
 0.77    -11.567335            0.038620
 0.78    -11.700220            0.040454
 0.79    -11.831643            0.042257
 0.80    -11.963284            0.044140
 0.81    -12.095095            0.046061
 0.82    -12.224928            0.048205
 0.83    -12.354841            0.050086
 0.84    -12.483611            0.052115
 0.85    -12.612433            0.054292
 0.86    -12.739106            0.056510
 0.87    -12.866650            0.058655
 0.88    -12.992310            0.060669
 0.89    -13.115887            0.062804
 0.90    -13.238860            0.064936
 0.91    -13.361834            0.067032
 0.92    -13.484854            0.069116
 0.93    -13.604764            0.071186
 0.94    -13.724612            0.073283
 0.95    -13.843160            0.075419
 0.96    -13.961038            0.077339
 0.97    -14.077940            0.079073
 0.98    -14.192204            0.081011
 0.99    -14.306941            0.082763
 1.00    -14.420368            0.084295
 1.01    -14.532687            0.085826
 1.02    -14.644316            0.087190
 1.03    -14.755062            0.088546
 1.04    -14.864139            0.089755
 1.05    -14.971470            0.090799
 1.06    -15.078709            0.091835
 1.07    -15.183237            0.092772
 1.08    -15.287677            0.093585
 1.09    -15.393140            0.094392
 1.10    -15.494902            0.094991
 1.11    -15.596328            0.095457
 1.12    -15.696242            0.095730
 1.13    -15.793907            0.096149
 1.14    -15.894229            0.096360
 1.15    -15.991706            0.096479
 1.16    -16.088887            0.096601
 1.17    -16.184986            0.096748
 1.18    -16.278686            0.096537
 1.19    -16.373916            0.096443
 1.20    -16.467499            0.096209
 1.21    -16.561304            0.096198
 1.22    -16.653161            0.095976
 1.23    -16.744719            0.095840
 1.24    -16.833997            0.095714
