 Beta  Tr[Hp]/Tr[p]  Tr[Hp]/Tr[p]_error
 0.00     33.461033            0.010850
 0.01     33.453055            0.010818
 0.02     33.444962            0.010876
 0.03     33.437801            0.010863
 0.04     33.429758            0.010872
 0.05     33.422698            0.010874
 0.06     33.415634            0.010810
 0.07     33.409588            0.011056
 0.08     33.400852            0.011190
 0.09     33.395759            0.011500
 0.10     33.389048            0.011451
 0.11     33.378855            0.011346
 0.12     33.371709            0.011615
 0.13     33.364116            0.011995
 0.14     33.354694            0.012257
 0.15     33.346946            0.012202
 0.16     33.343455            0.012572
 0.17     33.337423            0.012755
 0.18     33.331118            0.012931
 0.19     33.326486            0.013014
 0.20     33.319096            0.013411
 0.21     33.310238            0.013599
 0.22     33.300454            0.013549
 0.23     33.295200            0.013827
 0.24     33.290866            0.014579
 0.25     33.286858            0.014602
 0.26     33.280927            0.014681
 0.27     33.277036            0.015135
 0.28     33.273194            0.015269
 0.29     33.267445            0.015468
 0.30     33.260839            0.015193
 0.31     33.256457            0.015243
 0.32     33.246693            0.015539
 0.33     33.243458            0.015588
 0.34     33.233922            0.015783
 0.35     33.226790            0.015611
 0.36     33.219578            0.015425
 0.37     33.216438            0.015496
 0.38     33.208313            0.016079
 0.39     33.198314            0.016249
 0.40     33.192636            0.016931
 0.41     33.190213            0.017580
 0.42     33.188539            0.017273
 0.43     33.183817            0.017533
 0.44     33.174350            0.017982
 0.45     33.169980            0.018100
 0.46     33.165882            0.018359
 0.47     33.159697            0.018449
 0.48     33.149524            0.019472
 0.49     33.147189            0.020161
 0.50     33.147765            0.020852
 0.51     33.144008            0.021658
 0.52     33.138827            0.022046
 0.53     33.126390            0.022113
 0.54     33.121536            0.021996
 0.55     33.117704            0.021731
 0.56     33.116452            0.022158
 0.57     33.111006            0.022731
 0.58     33.097439            0.022721
 0.59     33.094253            0.022876
 0.60     33.087430            0.022983
 0.61     33.082941            0.023273
 0.62     33.082419            0.023799
 0.63     33.081076            0.023889
 0.64     33.077167            0.024613
 0.65     33.076127            0.024732
 0.66     33.069513            0.024659
 0.67     33.061902            0.024790
 0.68     33.057621            0.025028
 0.69     33.052650            0.025558
 0.70     33.045650            0.026476
 0.71     33.046463            0.026629
 0.72     33.037815            0.027581
 0.73     33.031452            0.028806
 0.74     33.028436            0.028784
 0.75     33.028176            0.028583
 0.76     33.015217            0.028250
 0.77     33.006832            0.028270
 0.78     33.005673            0.028800
 0.79     32.999136            0.030069
 0.80     33.002473            0.030414
 0.81     32.999493            0.030858
 0.82     32.994282            0.032574
 0.83     32.989113            0.033251
 0.84     32.998131            0.033479
 0.85     32.988078            0.034002
 0.86     32.983728            0.035115
 0.87     32.983199            0.035547
 0.88     32.976465            0.036095
 0.89     32.980767            0.035503
 0.90     32.982156            0.035630
 0.91     32.975136            0.035385
 0.92     32.965618            0.036990
 0.93     32.972608            0.037037
 0.94     32.961421            0.038486
 0.95     32.952506            0.038967
 0.96     32.955201            0.040397
 0.97     32.941023            0.040614
 0.98     32.930931            0.043467
 0.99     32.922707            0.044035
 1.00     32.917271            0.046453
